Designator,Mid X,Mid Y,Rotation,Layer
AE1,117.575,-34.38,0,top
C1,115.983,-38.754,180,top
C10,118.22,-50.04,270,top
C11,117.403,-39.639,90,top
C13,125.75,-42.845,180,top
C14,123.375,-37.015,180,top
C17,99.91,-46.6,270,top
C18,102.29,-47.55,90,top
C19,102.105,-53.15,180,top
C2,115.543,-40.168,270,top
C20,98.73,-51.865,90,top
C21,109.2768,-52.4112,270,top
C22,102.1048,-54.625,180,top
C23,101.3936,-56.8602,90,top
C24,114.23,-48.44,270,top
C25,114.975,-56.1,0,top
C26,114.975,-57.56,0,top
C27,104.26,-38.63,90,top
C28,104.26,-40.464,270,top
C29,94.44,-55.77,270,top
C3,123.926,-45.262,180,top
C30,123.41,-50.12,180,top
C31,112.246,-64.8654,270,top
C32,116.096,-64.8504,270,top
C33,114.671,-64.8454,270,top
C34,113.171,-64.8654,270,top
C35,115.121,-63.4704,0,top
C36,105.575,-64.815,270,top
C37,106.525,-64.805,270,top
C38,110.87,-64.42,180,top
C39,113.285,-63.465,0,top
C4,123.878,-41.252,90,top
C40,112.955,-59.94,180,top
C41,101.395,-65.355,0,top
C5,116.552,-37.562,180,top
C6,118.943,-37.29,180,top
C7,118.775,-40.091,180,top
C8,123.378,-39.837,0,top
C9,123.378,-38.915,0,top
D1,91.42,-50.4625,90,top
D2,106.82,-47.79,180,top
D3,125.62,-52.72,0,top
D4,115.63,-60.64,270,top
D5,117.98,-60.635,90,top
D6,112.08,-61.84,0,top
D7,109.81,-47.61,90,top
D8,125.7825,-37.06,180,top
F1,103.51,-45.69,0,top
FB1,101.1,-47.1775,270,top
J1,96,-43.661,270,top
J4,109.68,-68.365,180,top
L1,119.215,-38.696,270,top
L2,120.665,-38.691,270,top
L3,106.055,-51.14,180,top
L4,102.8668,-56.8602,90,top
L5,102.07,-62.375,0,top
Q1,115.8,-53.66,270,top
Q2,112.8,-53.1725,270,top
Q3,126.3425,-49.875,180,top
Q4,97.7825,-55.92,0,top
Q5,95.57,-58.99,180,top
Q6,96.29,-51.93,-90,top
Q7,106.14,-61.84,-90,top
Q8,117.53,-56.215,0,top
R1,122.93,-41.25,90,top
R10,100.386,-42.056,0,top
R11,100.39,-45.22,0,top
R12,104,-47.59,90,top
R13,98.55,-49.88,180,top
R14,109.44,-49.41,0,top
R15,109.44,-50.35,180,top
R16,105.68,-41.79,0,top
R17,109.23,-39.04,0,top
R18,123.43,-46.655,90,top
R19,124.38,-46.655,90,top
R2,116.473,-40.147,90,top
R20,95.37,-55.75,90,top
R21,94.92,-54.34,0,top
R22,100.1902,-56.33,270,top
R23,94.91,-57.17,180,top
R24,123.39,-51.05,180,top
R25,107.915,-62.615,270,top
R26,103.82,-65.16,0,top
R27,117.41,-57.43,180,top
R28,118.9,-56.49,90,top
R3,107.55,-41.79,0,top
R4,109.23,-39.99,180,top
R5,110.56,-52.25,270,top
R6,115.79,-51.47,180,top
R7,110.56,-54.12,90,top
R8,127.59,-42.845,0,top
R9,123.39,-37.965,0,top
SC1,122.7,-88.455,270,top
SC2,114.29,-88.455,270,top
SC3,105.89,-88.445,270,top
SC4,97.49,-88.435,270,top
SW1,126.5,-45.72,270,top
SW2,126.5,-39.97,270,top
U1,118.655,-44.574,270,top
U2,100.943,-43.6295,-180,top
U3,101.55,-50.72,-90,top
U4,106.71,-57.01,0,top
U5,112.07,-49.2025,90,top
U6,111.79,-57.1575,-90,top
U7,106.5144,-39.49,0,top
Y1,113.92,-39.095,270,top
Y2,123.435,-43.5,180,top
C12,114.47,-34.374,0,top
C15,121.115,-37.291,180,top
C16,121.105,-40.081,0,top
